;Tweets;Sentiment;Subjectivité
0;RT @afpfr: 📹 Pris d'assaut par des Parisiens en cette première soirée de déconfinement, le canal Saint-Martin à Paris est évacué par la pol…;0.11666666666666665;-0.033333333333333326
1;RT @CNEWS: Le coup de gueule de Pascal Praud contre le gouvernement « qui n'est pas capable de donner des masques à ses citoyens mais qui,…;-0.0875;0.2
2;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
3;RT @LCI: VIDEO - Déconfinement : deux soirs, deux ambiances sur les quais à Paris  https://t.co/csktg38a2G https://t.co/tajXdCYSAL;0.0;0.0
4;"RT @20Minutes: 🔴 [EN DIRECT] 26.991 personnes sont mortes en #France depuis le 1er mars, dont 348 en 24 heures

➡️https://t.co/dR1xJv2kHY…";0.2;0.2
5;"RT @ChLECHEVALIER: Plus besoin du papier de confinement ?

Oui, mais besoin d'une attestation de domicile à la place !!

Plus le #coronavir…";0.10520833333333333;0.06666666666666667
6;RT @AnonymeCitoyen: Des centaines d'habitants de quartiers de #Madrid sont sortis spontanément dans les rues pour réclamer la démission du…;0.0;0.0
7;Non mais vous êtes sérieux là? Le décompte #confinement était déjà pesant mais maintenant vous nous le refaites dan… https://t.co/ZhYDcvqUP4;0.08;0.35000000000000003
8;#Deconfinement C’etait sence être drôle? https://t.co/ya6DeO4S0H;0.53;0.6
9;RT @Ex_Panthera: En conclusion nous sommes un peuple d'assistés, qui attend que l'état lui donne la main. Un pays de #gaulois irrespectueux…;0.1;0.2
10;RT @lamontagne_fr: #Déconfinement | À #ClermontFerrand, le jardin Lecoq rouvre ce mercredi 13 mai à 12 heures ➡️https://t.co/Uvia1PSZxU htt…;0.0;0.0
11;RT @EnzoCamping: Ajd 💁🏻‍♀️ déconfinement 🥳 et qui dit déconfinement ? 🤔 Dit direction 🔜 Zara !! 😍💋 Non négociable 🙅🏻‍♀️ c vital 😂;0.045000000000000005;0.25
12;@NzrBen J'insinue pas que c'est dû au déconfinement je visais les gens qui sortaient pendant le confinement;0.0;0.0
13;RT @AiphanMarcel: Le Dr Pialoux répond à la Macronie qui essaie de nous faire croire que le consensus scientifique a évolué sur les #masque…;0.0;0.0
14;RT @villedeguerande: La Ville de Guérande remercie 🙏l'ensemble de la population pour tout ce qui a été fait pendant la période de confineme…;0.22;0.1
15;RT @RoseDeBerne: En y réfléchissant, si au lieu du port du masque on avait imposé celui du sombrero, on aurait assuré à ce déconfinement la…;0.15000000000000002;0.4
16;@SectusemStark J'insinue pas que c'est dû au déconfinement je visais les gens qui sortaient pendant le confinement;0.0;0.0
17;RT @PBernasconi: Le @lecese sera aux côtés de la mission deconfinement dirigée par @JeanCastex pour accompagner cet effort immense en perme…;0.45;0.7
18;"RT @CerveauxNon: La nouvelle école de la vie.
Images d'une maternelle de Tourcoing.
#ecoles #ecole #profs #DeconfinementJour2 #Deconfinemen…";0.05;0.125
19;J’avais oublié que le deconfinement ça aller ramener tous les blaireaux qui savent pas conduire sa mère;-0.09000000000000001;0.2
20;RT @mauvais_loup7: Y’a des gens qui sont allez chez le coiffeur pour le déconfinement mais ils sont toujours aussi vilain.;-0.6;1.0
21;RT @Anne_Hidalgo: Avec @JCDecaux_France, nous installons progressivement des distributeurs de gel hydro-alcoolique sur 2.000 abribus et san…;0.0;0.0
22;"RT @AyrlDim: Tu a bien compris que c'est pas un déconfinement total, qu'on ne peux pas se rassembler pour faire des soirées a 50 ?

Les gen…";0.05;0.1
23;"Coronavirus : ""arrêter la Ligue 1 était un cas de force majeure"" pour Thierry Laurey, le coach strasbourgeois… https://t.co/zojGe39tSa";0.0;0.0
24;"RT @Hyunivers: Yo, en ce J1 du déconfinement, j’aimerais donner un peu de visibilité à la petite boutique de thé de mes parents!
Ils vous a…";0.042499999999999996;0.175
25;RT @AnonymeCitoyen: Des centaines d'habitants de quartiers de #Madrid sont sortis spontanément dans les rues pour réclamer la démission du…;0.0;0.0
26;"RT @CerveauxNon: La nouvelle école de la vie.
Images d'une maternelle de Tourcoing.
#ecoles #ecole #profs #DeconfinementJour2 #Deconfinemen…";0.05;0.125
27;RT @lemondefr: Tribune |  Avec un projet mal préparé visant surtout à limiter la demande en décourageant les usagers habituels des transpor…;-0.375;0.35
28;"#COVID19 #Deconfinement #DeconfinementJour2 .
#france3 continue de diffuser le message du gouvernement, disant que… https://t.co/YjLKuxpjwk";0.0;0.0
29;"[Communiqué intersyndical] #Covid_19 #Déconfinement 

⚠ Collèges et lycées : pas de reprise sans garanties sanitair… https://t.co/hVAvJY2Kxl";0.0;0.0
30;"En images : le retour à l'école au deuxième jour du déconfinement 

https://t.co/4iLmWR6Nv9";0.03;0.0
31;"Confinement➡️ baisse des émissions CO₂ &amp; pourtant il a fait +chaud que le normale. 

Jour du déconfinement➡️ rehaus… https://t.co/tztCQ7tkii";0.21000000000000002;0.2
32;RT @CNEWS: Le coup de gueule de Pascal Praud contre le gouvernement « qui n'est pas capable de donner des masques à ses citoyens mais qui,…;-0.0875;0.2
33;"RT @AyrlDim: Tu a bien compris que c'est pas un déconfinement total, qu'on ne peux pas se rassembler pour faire des soirées a 50 ?

Les gen…";0.05;0.1
34;RT @AnonymeCitoyen: Des centaines d'habitants de quartiers de #Madrid sont sortis spontanément dans les rues pour réclamer la démission du…;0.0;0.0
35;RT @Circonscripti18: 🎴🏫FLASH #COVID19 #Deconfinement /A l'instant la journaliste @LCI met en avant l'excellente intervention de Mme @Simonn…;0.3;0.525
36;@blvckfull impossible que ça soit à cause du déconfinement, la durée pour contracté la maladie est minimum de 3-4 j… https://t.co/lV1jg8hW7H;-0.36;0.024999999999999994
37;@QuiNousAime Entre l'éducation nationale et les transports en communs, le gouvernement a vraiment bien préparé le déconfinement...;0.02666666666666667;0.16666666666666666
38;"RT @Ex_Panthera: THREAD ""COUP DE GUEULE"" ⚠️⚠️
 ""syndrome de l'enfant gâté Français""
En ce 2ème jour de déconfinement, quel constat stupéfia…";0.2;0.0
39;"RT @StylosrougesR: ""#Deconfinement : Jean-Michel #Blanquer reconnaît beaucoup de difficultés dans le retour en classe.""

No shit, Sherlock…";0.1;0.1
40;"RT @ActusPays: « L’esclavage fait son retour en Inde ».
A quelques jours du déconfinement, plusieurs Etats de l’union indienne ont décidé d…";0.05;0.25
41;RT @PierreCourade: Paris, l'une des villes les plus denses au monde, se densifie encore plus depuis le déconfinement avec l'impossibilité d…;0.075;0.05
42;"RT @JacquesColignon: Hallucinant :
Je reçois, comme tous les autres copropriétaires, un mail venant du Président du Conseil Syndical pour p…";0.06;0.05
43;RT @Michaela_Mldj: Après le deconfinement du Ghana , 4000 cas direct ! Sortez hein MDR , sortez... vous pensez c’est vous seulement vous ai…;0.25;0.2
44;"RT @ericcoquerel: 😤 J'entends des discours sur le ""relâchement des français"" suite au déconfinement.

Si quelques-uns se sont relâchés, c'e…";0.15000000000000002;0.3
45;RT @francebleuDA: Rentrée très ordonnée pour près de 170 élèves des écoles de #Chabeuil #Drôme #coronavirus https://t.co/ELdVBI341s https:/…;0.01;0.65
46;Déconfinement : Anne Hidalgo demande la réouverture des parcs et jardins à Paris, Véran s'y oppose https://t.co/myZSdRoS50 via @europe1;0.0;0.0
47;RT @PINCON_CHARL0T: Demain, mercredi 13 mai, Monique sera en direct à partir de 16h pour répondre à vos #questions sur les #inégalités face…;0.2;0.2
48;RT @F3PoitouChtes: Depuis hier, au #port de #LaRochelle, l'accès à la mer est autorisé pour les plaisanciers. De quoi savourer le #déconfin…;0.05;0.2
49;"RT @nantesfr: #InfoNantesCOVID19
Quels équipements et services publics locaux sont ouverts ou fermés suite au déconfinement ?
En ➕ de notre…";0.007499999999999993;0.0875
50;RT @BergmannDomini2: Je ne serais pas vraiment surpris d'apprendre demain  que Samantha Carpentier, prof. des écoles actuellement interrogé…;-0.1375;0.25
51;@afpfr Rattrapage statistique du week-end comme tous les lundis et mardis. Rien à voir avec le déconfinement.;0.22;0.1
52;"RT @AyrlDim: Tu a bien compris que c'est pas un déconfinement total, qu'on ne peux pas se rassembler pour faire des soirées a 50 ?

Les gen…";0.05;0.1
53;RT @blousesnoires: Le triste monde n’est pas mort avec la crise sanitaire et profite du relâchement du déconfinement pour accentuer la répr…;-0.3;0.6
54;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
55;"RT @inspereims: 💻 Le point sur nos différentes campagnes de candidatures pour la rentrée 2020/2021 c'est par ici 👉 :
https://t.co/DdiDNFbkZ…";0.4;0.15
56;RT @lemondefr: #COVID19 : « L’esclavage fait son retour en Inde ». A quelques jours du déconfinement, des Etats de l’union indienne ont déc…;0.0;0.0
57;RT @queendubasmonde: Les gens qui font soirée le jour du déconfinement vous êtes les abrutis de la classe;-0.28;-0.5
58;RT @padamecour: J’ai pas pu m’empêcher 😅 #Deconfinement https://t.co/I9wytTNnnA;0.0;0.0
59;RT @BriceFournier: Mais qui a fait ça?! 😅 #Deconfinement https://t.co/VRcdymzOBG;0.0;0.0
60;@afpfr Le pire ça ne peut pas être la faute au déconfinement ...;-0.4;0.8
61;RT @lisewlk: dites-vous y a des gens qui ont aucun scrupule à se réunir à plus de 10 chez des personnes à risques 2 jours après le déconfin…;0.15;0.1
62;RT @padamecour: J’ai pas pu m’empêcher 😅 #Deconfinement https://t.co/I9wytTNnnA;0.0;0.0
63;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
64;"RT @20Minutes: 🔴 [EN DIRECT] 26.991 personnes sont mortes en #France depuis le 1er mars, dont 348 en 24 heures

➡️https://t.co/dR1xJv2kHY…";0.2;0.2
65;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
66;RT @mauvais_loup7: Y’a des gens qui sont allez chez le coiffeur pour le déconfinement mais ils sont toujours aussi vilain.;-0.6;1.0
67;RT @matthieumeritet: j’ai refait la carte du déconfinement en poivron vous en pensez quoi https://t.co/CiWgOjSg0j;0.0;0.0
68;krkrkrk ils nous reste 3 minutes de déconfinement https://t.co/X6nr15YnIo;0.0;0.0
69;RT @AnonymeCitoyen: 🔴🇪🇦 - Une interminable queue de français c'est formé hier à #LaJonquera ville Espagnol proche de la frontière avec la F…;0.0050000000000000044;0.225
70;Le pote de mon frere qui dort chez moi au deuxième jour de deconfinement eh vsi;0.03;0.0
71;"RT @JdeMontreal: Cas de maltraitance: le deconfinement pour protéger les enfants.
https://t.co/Nn1ePngQ9I";0.0;0.0
72;"RT @franceinfo: Déconfinement : il faut que ""la garde des petits-enfants soit un des motifs familiaux impérieux qui nécessite"" de se déplac…";0.0;0.125
73;RT @stopMLPetJLM: Selon l'enquête quotidienne Opinionway la confiance dans l'exécutif a remonté de 6 points en une semaine pour s'établir à…;0.0;0.0
74;"RT @AbdiElkandoussi: 🎥 Lundi 11 mai 2020 : #transports en commun de #Montpellier #Métropole.
Déconfinement 🚌 🚋 
@Saurel_P 
- Distributeur g…";0.08;0.1
75;RT @Conflits_FR: 🇫🇷 Déconfinement : « Un #reconfinement en urgence doit être anticipé », prévient Jean #Castex dans son rapport sur le #Dec…;0.0;0.0
76;"RT @AyrlDim: Tu a bien compris que c'est pas un déconfinement total, qu'on ne peux pas se rassembler pour faire des soirées a 50 ?

Les gen…";0.05;0.1
77;RT @PaulMoreiraPLTV: Grâce au déconfinement, on l’a vu à la télé : le premier métro est plein d’immigrés. Il font tourner ce pays quand nou…;0.385;8.924999999999999
78;RT @Gre_lea: Mesdames et Messieurs veuillez admirer le QI négatif des gens à Nantes venus soutenir les soignants devant le CHU en ce jour d…;0.0;0.0
79;"RT @Paolichino: « Et alors vous avez passé le deconfinement avec votre copine ? »

La coiffeuse, litteralement 35 secondes après que je lui…";-0.1;0.125
80;"RT @FranckNoir3: On nous dit que les USA sont le pays le plus touché par le #Coronavirus.

En rapportant au nombre d'habitant, la France a…";0.15;0.1
81;RT @CNEWS: Le coup de gueule de Pascal Praud contre le gouvernement « qui n'est pas capable de donner des masques à ses citoyens mais qui,…;-0.0875;0.2
82;RT @E_Dorsay: Je range les gens ayant assimilé les règles subtilement ubuesques du déconfinement dans une catégorie à part, celle des êtres…;0.0;0.0
83;"RT @Tenoua: Une histoire italienne de 🦠, de courage et de lutte contre l'Extermination. 
Une minute 30 à voir en ces temps de pandémie et d…";0.0;0.0
84;"RT @CerveauxNon: La nouvelle école de la vie.
Images d'une maternelle de Tourcoing.
#ecoles #ecole #profs #DeconfinementJour2 #Deconfinemen…";0.05;0.125
85;"RT @Urtikan_net: Chercher un emploi pendant la pandémie
#DessinDePresse de @Lacombe_dessins pour https://t.co/S6YYStSoZE
Préparez-vous aux…";0.0;0.0
86;"RT @SERKO_TURKO: - vous etes sur une place handicapé madame

- ah mais j'allais a zara puis a macdo pour feter le deconfinement

- je compr…";0.0;0.0
87;RT @Infirmier0: Les policiers de #Castaner à l'œuvre, on ne peut même pas marcher comme ds un Etat démocratique! #Deconfinement #deconfinem…;0.0;0.5
88;jsuis toujours pas sortie depuis le début du déconfinement;0.0;0.0
89;Déconfinement #Lyon: il y a des #GCUM de partout, dans toutes les rues, sur les #trottoirs, les #pistes #cyclables… https://t.co/pwAMJpdUoH;0.22;0.1
90;Ptn même en étant en déconfinement on me fait chier, pour de vrai jv vite dégager d'ici;0.025;0.45
91;Je ne serais pas vraiment surpris d'apprendre demain  que Samantha Carpentier, prof. des écoles actuellement interr… https://t.co/VDz4E6X4NB;-0.1375;0.25
92;"""Il ne faut pas croire que les gens vont revenir."" Pour le monde de la culture, déconfinement ne rime pas avec reto… https://t.co/jcVm1VQnnQ";0.0;0.0
93;"RT @ChristophePretr: A part connards, un autre qualificatif ? 

Déconfinement : à Paris, le canal Saint-Martin évacué après des rassembleme…";-0.125;-0.15
94;"RT @radioparleur: 🔴""ICI ON POUSSE DES EGYPTIENS DANS LA SEINE""🔴

Première #manif de #Deconfinement pour le 93. À l'#ilesaintdenis une tenta…";0.5;0.2
95;RT @XseniaSputnik: Action des avocats face au ministère de la justice  Place Vendôme contre la mise à mal des libertés fondamentales dans c…;-0.7;0.7
96;"@Hannnas Le Bilan jour par jour a pas énormément d’intérêt il faut le regarder a plus grosse échelle disons..
Perso… https://t.co/yV6eVHIeJ6";0.0;0.26
97;Le deconfinement c le aïd des non muslim;-0.01;0.0
98;RT @blousesnoires: Le triste monde n’est pas mort avec la crise sanitaire et profite du relâchement du déconfinement pour accentuer la répr…;-0.3;0.6
99;"RT @G_Corbeau: Sérieusement, certaines personnes tentent de saboter le #Deconfinement. 
Une partie de la team « je reste chez moi et je sui…";0.29;0.15
